codigo,artista,musica,letra
83213,Whitesnake,Here I Go Again,CC Karaoke
83214,Paramore,We Are Broken,CC Karaoke
83215,Talking Heads,Once in a Lifetime,CC Karaoke
83216,Linkin Park,Bleed it Out,CC Karaoke
83217,Rage Against The Machine,Bulls On Parade,CC Karaoke
83218,Sum 41,Fat Lip,CC Karaoke
83219,The Cars,Good Times Roll,CC Karaoke
83220,Red Hot Chili Peppers,Parallel Universe,CC Karaoke
83221,The Who,Baba O'Riley,CC Karaoke
83222,Queens of the Stone Age,Burn The Witch,CC Karaoke
83223,Queens of the Stone Age,Medication,CC Karaoke
83224,Queens of the Stone Age,I'm Designer,CC Karaoke
83225,Queens of the Stone Age,The Blood Is Love,CC Karaoke
83226,Queens of the Stone Age,Era Vulgaris,CC Karaoke
83227,Phoebe Bridgers,Graceland Too (no Harmonies),CC Karaoke
83228,Phoebe Bridgers,Graceland Too (with vocal Harmonies),CC Karaoke
83229,Phoebe Bridgers,Garden Song,CC Karaoke
83230,Phoebe Bridgers,Kyoto,CC Karaoke
83231,Arctic Monkeys,My Propeller,CC Karaoke
83232,Depeche Mode,It's No Good,CC Karaoke
83233,Depeche Mode,Enjoy The Silence,CC Karaoke
83234,Queens of the Stone Age,I Never Came,CC Karaoke
83235,Queens of the Stone Age,Long Slow Goodbye,CC Karaoke
83236,Queens of the Stone Age,Run Pig Run,CC Karaoke
83237,Queens of the Stone Age,Tangled Up In Plaid,CC Karaoke
83238,Queens of the Stone Age,Someone's In The Wolf,CC Karaoke
83239,Arctic Monkeys,Dangerous Animals,CC Karaoke
83240,Arctic Monkeys,Secret Door,CC Karaoke
83241,Pearl Jam,Oceans,CC Karaoke
83242,Pearl Jam,Release,CC Karaoke
83243,Phoebe Bridgers,Punisher,CC Karaoke
83244,Phoebe Bridgers,I Know The End,CC Karaoke
83245,Phoebe Bridgers,ICU (I See You),CC Karaoke
83246,Phoebe Bridgers,Halloween,CC Karaoke
83247,Phoebe Bridgers,Chinese Satellite,CC Karaoke
83248,Phoebe Bridgers,Moon Song,CC Karaoke
83249,Phoebe Bridgers,Savior Complex,CC Karaoke
83250,Green Day,Whatsername,CC Karaoke
83251,Green Day,Welcome To Paradise,CC Karaoke
83252,Queens of the Stone Age,Battery Acid,CC Karaoke
83253,Queens of the Stone Age,Misfit Love,CC Karaoke
83254,Queens of the Stone Age,Suture Up Your Future,CC Karaoke
83255,Queens of the Stone Age,Into The Hollow,CC Karaoke
83256,Queens of the Stone Age,Precious And Grace,CC Karaoke
83257,Weezer,Feels Like Summer,CC Karaoke
83258,Weezer,Mexican Fender,CC Karaoke
83259,Weezer,Susanne,CC Karaoke
83260,Queens of the Stone Age,Everybody Knows That You're Insane,CC Karaoke
83261,Queens of the Stone Age,River In The Road,CC Karaoke
83262,Queens of the Stone Age,Skin On Skin,CC Karaoke
83263,Queens of the Stone Age,Turnin' On The Screw,CC Karaoke
83264,Queens of the Stone Age,"You've Got A Killer Scene There, Man",CC Karaoke
83265,Queens of the Stone Age,Infinity,CC Karaoke
83266,The Strokes,Reptilia,CC Karaoke
83267,The Smiths,This Charming Man,CC Karaoke
83268,David Bowie,Let's Dance,CC Karaoke
83269,David Bowie,Moonage Daydream,CC Karaoke
83270,Blink-182,Always,CC Karaoke
83271,Blink-182,First Date,CC Karaoke
83272,Judas Priest,Electric Eye,CC Karaoke
83273,Oasis,Some Might Say,CC Karaoke
83274,Incubus,Stellar,CC Karaoke
83275,Incubus,Dig,CC Karaoke
83276,Arctic Monkeys,Knee Socks,CC Karaoke
83277,The Clash,London Calling,CC Karaoke
83278,Metallica,Fuel,CC Karaoke
83279,Metallica,Creeping Death,CC Karaoke
83280,Metallica,Mercyful Fate,CC Karaoke
83281,Panic! At The Disco,Nine In the Afternoon,CC Karaoke
83282,Pixies,Hey,CC Karaoke
83283,Metallica,The Memory Remains,CC Karaoke
83284,Metallica,Seek and Destroy,CC Karaoke
83285,Metallica,No Leaf Clover,CC Karaoke
83286,Queen,Bicycle Race,CC Karaoke
83287,Queen,Hammer To Fall,CC Karaoke
83288,Queen,Play The Game,CC Karaoke
83289,Queen,Somebody To Love,CC Karaoke
83290,Queen,The Show Must Go On,CC Karaoke
83291,Queen,I Want To Break Free,CC Karaoke
83292,Metallica,The Thing That Should Not Be,CC Karaoke
83293,Metallica,Wherever I May Roam,CC Karaoke
83294,Coldplay,Shiver,CC Karaoke
83295,Breaking Benjamin,Breath,CC Karaoke
83296,Avenged Sevenfold,Nightmare,CC Karaoke
83297,Steven Wilson,Unself _ Self,CC Karaoke
83298,Steven Wilson,Man Of The People,CC Karaoke
83299,Steven Wilson,Follower,CC Karaoke
83300,Steven Wilson,Count of Unease,CC Karaoke
83301,Steven Wilson,King Ghost,CC Karaoke
83302,Red Hot Chili Peppers,Wet Sand,CC Karaoke
83303,Red Hot Chili Peppers,Don't Forget Me,CC Karaoke
83304,Red Hot Chili Peppers,Breaking The Girl,CC Karaoke
83305,The Used,Pretty Handsome Awkward,CC Karaoke
83306,Tokio Hotel,Monsoon,CC Karaoke
83307,Alice in Chains,Them Bones,CC Karaoke
83308,Alice In Chains,No Excuses,CC Karaoke
83309,Metallica,Whiplash,CC Karaoke
83310,Metallica,Hit The Lights,CC Karaoke
83311,Florence + The Machine,Cosmic Love,CC Karaoke
83312,KoRn,Coming Undone,CC Karaoke
83313,Lamb of God,Walk With Me In Hell,CC Karaoke
83314,My Chemical Romance,Teenagers,CC Karaoke
83315,A Perfect Circle,Judith,CC Karaoke
83316,Linkin Park,The Messenger,CC Karaoke
83317,Live,Lightning Crashes,CC Karaoke
83318,Nine Inch Nails,Hurt,CC Karaoke
83319,Nirvana,Lounge Act,CC Karaoke
83320,Soundgarden,Burden In My Hand,CC Karaoke
83321,The Smashing Pumpkins,Bullet With Butterfly Wings,CC Karaoke
83322,The Smashing Pumpkins,Today,CC Karaoke
83323,The Raconteurs,Bored and Razed,CC Karaoke
83324,The Smashing Pumpkins,"Tonight, Tonight",CC Karaoke
83325,Muse,Sunburn,CC Karaoke
83326,Muse,Sing For Absolution,CC Karaoke
83327,Arctic Monkeys,The Jeweller's Hands,CC Karaoke
83328,Arctic Monkeys,Pretty Visitors,CC Karaoke
83329,Arctic Monkeys,Crying Lightning,CC Karaoke
83330,Suede,Can't Get Enough,CC Karaoke
83331,Suede,Filmstar,CC Karaoke
83332,Suede,She's In Fashion,CC Karaoke
83333,Two Door Cinema Club,Cigarettes In The Theatre,CC Karaoke
83334,Two Door Cinema Club,I Can Talk,CC Karaoke
83335,Two Door Cinema Club,Undercover Martyn,CC Karaoke
83336,Cage The Elephant,Skin and Bones,CC Karaoke
83337,Cage The Elephant,Ain't No Rest for the Wicked,CC Karaoke
83338,The Vines,Spaceship,CC Karaoke
83339,The Vines,Winning Days,CC Karaoke
83340,Bloc Party,Octopus,CC Karaoke
83341,The National,Bloodbuzz Ohio,CC Karaoke
83342,The National,Terrible Love,CC Karaoke
83343,Biffy Clyro,Mountains,CC Karaoke
83344,Biffy Clyro,Black Chandelier,CC Karaoke
83345,Elbow,The Bones Of You,CC Karaoke
83346,Elbow,Mirrorball,CC Karaoke
83347,Arctic Monkeys,Cornerstone,CC Karaoke
83348,Arctic Monkeys,Dance Little Liar,CC Karaoke
83349,David Bowie,Boys Keep Swinging,CC Karaoke
83350,David Bowie,Cat People,CC Karaoke
83351,David Bowie,Fashion,CC Karaoke
83352,Two Door Cinema Club,Come Back Home,CC Karaoke
83353,Two Door Cinema Club,"Eat That Up, Its Good for You",CC Karaoke
83354,Two Door Cinema Club,This Is The Life,CC Karaoke
83355,Two Door Cinema Club,You're Not Stubborn,CC Karaoke
83356,The National,Sorrow,CC Karaoke
83357,The National,Anyone's Ghost,CC Karaoke
83358,Green Day,Lazy Bones,CC Karaoke
83359,Green Day,Angel Blue,CC Karaoke
83360,Green Day,A Little Boy Named Train,CC Karaoke
83361,The Police,Message In A Bottle,CC Karaoke
83362,The Police,Roxanne,CC Karaoke
83363,Death From Above 1979,Romantic Rights,CC Karaoke
83364,Death From Above 1979,Black History Month,CC Karaoke
83365,Biffy Clyro,Many Of Horror,CC Karaoke
83366,Biffy Clyro,A Hunger In Your Haunt,CC Karaoke
83367,Gojira,The Shooting Star,CC Karaoke
83368,Gojira,Silvera,CC Karaoke
83369,Weezer,Love Is The Answer,CC Karaoke
83370,Weezer,Why Bother,CC Karaoke
83371,Avenged Sevenfold,Gunslinger,CC Karaoke
83372,Cage The Elephant,Cigarette Daydreams,CC Karaoke
83373,The Doors,Love Me Two Times,CC Karaoke
83374,The Doors,Light My Fire,CC Karaoke
83375,The Doors,Peace Frog,CC Karaoke
83376,The Doors,"Hello, I Love You",CC Karaoke
83377,Bloc Party,I Still Remember,CC Karaoke
83378,Bloc Party,Hunting For Witches,CC Karaoke
83379,Coldplay,Paradise,CC Karaoke
83380,Coldplay,Viva La Vida,CC Karaoke
83381,Foo Fighters,Arlandria,CC Karaoke
83382,The Maine,English Girls,CC Karaoke
83383,The Maine,White Walls,CC Karaoke
83384,Muse,Won't Stand Down,CC Karaoke
83385,Pantera,Rise,CC Karaoke
83386,Foo Fighters,Waiting On A War,CC Karaoke
83387,The National,Abel,CC Karaoke
83388,The National,Green Gloves,CC Karaoke
83389,Suede,Simon,CC Karaoke
83390,Suede,Trash,CC Karaoke
83391,Gojira,Stranded,CC Karaoke
83392,Gojira,The Cell,CC Karaoke
83393,Aerosmith,Sweet Emotion,CC Karaoke
83394,Avenged Sevenfold,Bat Country,CC Karaoke
83395,Gojira,Only Pain,CC Karaoke
83396,Gojira,Pray,CC Karaoke
83397,Gojira,Low Lands,CC Karaoke
83398,Gojira,Magma,CC Karaoke
83399,Starset,Waking Up,CC Karaoke
83400,Starset,Stratosphere,CC Karaoke
83401,Liam Gallagher,Everything's Electric,CC Karaoke
83402,Oleander,Why I'm Here,CC Karaoke
83403,The Killers,Bling,CC Karaoke
83404,The Killers,Sam's Town,CC Karaoke
83405,The Killers,Bones,CC Karaoke
83406,Green Day,2000 Light Years Away,CC Karaoke
83407,Pearl Jam,Off He Goes,CC Karaoke
83408,The Tragically Hip,Thompson Girl,CC Karaoke
83409,Led Zeppelin,Dancing Days,CC Karaoke
83410,Led Zeppelin,Rock And Roll,CC Karaoke
83411,The Strokes,Automatic Stop,CC Karaoke
83412,Weezer,Dreamin,CC Karaoke
83413,Weezer,Perfect Situation,CC Karaoke
83414,Led Zeppelin,All My Love,CC Karaoke
83415,The Doors,Love Her Madly,CC Karaoke
83416,The Doors,Break On Through (To The Other Side),CC Karaoke
83417,The Doors,Touch Me,CC Karaoke
83418,The Doors,The Crystal Ship,CC Karaoke
83419,The Doors,People Are Strange,CC Karaoke
83420,Coldplay,Lost!,CC Karaoke
83421,Black Sabbath,Dying For Love,CC Karaoke
83422,Black Sabbath,Country Girl,CC Karaoke
83423,The Tragically Hip,Gus - The Polar Bear From Central Park,CC Karaoke
83424,The Tragically Hip,"Grace, Too",CC Karaoke
83425,Elbow,Lippy Kids,CC Karaoke
83426,Elbow,Neat Little Rows,CC Karaoke
83427,Led Zeppelin,Good Times Bad Times,CC Karaoke
83428,Black Sabbath,Time Machine,CC Karaoke
83429,Black Sabbath,The Shining,CC Karaoke
83430,Pearl Jam,Do The Evolution,CC Karaoke
83431,Franz Ferdinand,Can't Stop Feeling,CC Karaoke
83432,Franz Ferdinand,No You Girls,CC Karaoke
83433,Starset,Faultline,CC Karaoke
83434,Starset,Telekinetic,CC Karaoke
83435,The Killers,For Reasons Unknown,CC Karaoke
83436,The Killers,Read My Mind,CC Karaoke
83437,The Killers,Uncle Jonny,CC Karaoke
83438,The Tragically Hip,Fifty Mission Cap,CC Karaoke
83439,Nirvana,The Man Who Sold The World,CC Karaoke
83440,Nirvana,Oh Me,CC Karaoke
83441,Weezer,No One Else,CC Karaoke
83442,Weezer,Only In Dreams,CC Karaoke
83443,Weezer,In The Garage,CC Karaoke
83444,Weezer,Surf Wax America,CC Karaoke
83445,Red Hot Chili Peppers,Dark Necessities,CC Karaoke
83446,Red Hot Chili Peppers,We Turn Red,CC Karaoke
83447,Red Hot Chili Peppers,The Getaway,CC Karaoke
83448,Red Hot Chili Peppers,The Longest Wave,CC Karaoke
83449,Red Hot Chili Peppers,Go Robot,CC Karaoke
83450,Red Hot Chili Peppers,Detroit,CC Karaoke
83451,Red Hot Chili Peppers,Sick Love,CC Karaoke
83452,Red Hot Chili Peppers,This Ticonderoga,CC Karaoke
83453,Red Hot Chili Peppers,Encore,CC Karaoke
83454,Red Hot Chili Peppers,Feasting On The Flowers,CC Karaoke
83455,Red Hot Chili Peppers,Goodbye Angels,CC Karaoke
83456,Red Hot Chili Peppers,The Hunter,CC Karaoke
83457,Red Hot Chili Peppers,Dreams Of A Samurai,CC Karaoke
83458,The Black Keys,Gold On The Ceiling,CC Karaoke
83459,Incubus,Vitamin,CC Karaoke
83460,Incubus,Glass,CC Karaoke
83461,Incubus,A Certain Shade Of Green,CC Karaoke
83462,Starset,Trials,CC Karaoke
83463,Starset,Other Worlds Than These,CC Karaoke
83464,Starset,Perfect Machine,CC Karaoke
83465,Starset,Solstice,CC Karaoke
83466,Cage The Elephant,Black Widow,CC Karaoke
83467,Cage The Elephant,Come A Little Closer,CC Karaoke
83468,Red Hot Chili Peppers,Kaly,CC Karaoke
83469,Red Hot Chili Peppers,Outer Space,CC Karaoke
83470,Glass Animals,Pools,CC Karaoke
83471,Glass Animals,Heat Waves,CC Karaoke
83472,Cage The Elephant,Cold Cold Cold,CC Karaoke
83473,Nothing But Thieves,Amsterdam,CC Karaoke
83474,Nothing But Thieves,Trip Switch,CC Karaoke
83475,Nothing But Thieves,Ban All The Music,CC Karaoke
83476,Nothing But Thieves,"Lover, Please Stay",CC Karaoke
83477,Glass Animals,Youth,CC Karaoke
83478,Death Cab For Cutie,Your Heart Is An Empty Room,CC Karaoke
83479,Amber Run,I Found,CC Karaoke
83480,Feeder,Buck Rogers,CC Karaoke
83481,Feeder,Come Back Around,CC Karaoke
83482,Massive Attack,Teardrop,CC Karaoke
83483,Red Hot Chili Peppers,Warped,CC Karaoke
83484,Royal Blood,I Only Lie When I Love You,CC Karaoke
83485,Royal Blood,How Did We Get So Dark,CC Karaoke
83486,Creeper,Born Cold,CC Karaoke
83487,Creeper,Annabelle,CC Karaoke
83488,Foals,2am,CC Karaoke
83489,Foals,Mountain At My Gates,CC Karaoke
83490,Pixies,Gouge Away,CC Karaoke
83491,R.E.M.,"What's The Frequency, Kenneth",CC Karaoke
83492,Foals,Looking High,CC Karaoke
83493,Liam Gallagher,C'mon You Know,CC Karaoke
83494,Metallica,Dyer's Eve,CC Karaoke
83495,Metallica,The Shortest Straw,CC Karaoke
83496,Lamb of God,Descending,CC Karaoke
83497,Lamb of God,Desolation,CC Karaoke
83498,Lamb of God,The Undertow,CC Karaoke
83499,Tame Impala,Love_Paranoia,CC Karaoke
83500,Tame Impala,Elephant,CC Karaoke
83501,Avenged Sevenfold,Critical Acclaim,CC Karaoke
83502,Feeder,Paperweight,CC Karaoke
83503,Feeder,Just The Way I'm Feeling,CC Karaoke
83504,Olivia Rodrigo,good 4 u,CC Karaoke
83505,Olivia Rodrigo,happier,CC Karaoke
83506,Silverchair,Straight Lines,CC Karaoke
83507,Christina Perri,Penguin 👋🐧,CC Karaoke
83508,Portugal. The Man,Feel It Still,CC Karaoke
83509,Muse,Hate This And I'll Love You,CC Karaoke
83510,Olivia Rodrigo,favorite crime,CC Karaoke
83511,Taylor Swift,Style,CC Karaoke
83512,The Vines,Rainfall,CC Karaoke
83513,The Vines,Evil Town,CC Karaoke
83514,The Vines,She's Got Something To Say,CC Karaoke
83515,Silverchair,Faultline,CC Karaoke
83516,Silverchair,Pure Massacre,CC Karaoke
83517,Silverchair,Shade,CC Karaoke
83518,Royal Blood,Honeybrains,CC Karaoke
83519,Silverchair,Freak,CC Karaoke
83520,The National,Secret Meeting,CC Karaoke
83521,The National,Apartment Story,CC Karaoke
83522,The National,Graceless,CC Karaoke
83523,Taylor Swift,Back To December,CC Karaoke
70001,Frank Sinatra,"New York, New York",KaraFun
70002,Happy Birthday Songs,Happy Birthday (rock version),KaraFun
70003,Bette Midler,The Rose,KaraFun
70004,Ben L'Oncle Soul,Soulman,KaraFun
70005,Bonnie Tyler,Total Eclipse of the Heart,KaraFun
70006,Christmas Carol,Angels from the Realms of Glory,KaraFun
70007,Live) - Amy Winehouse,Valerie (Acoustic,KaraFun
70008,Band Aid II,Do They Know It's Christmas (Feed The World),KaraFun
70009,Christmas Carol,All Through the Night,KaraFun
70010,Train,"Hey, Soul Sister",KaraFun
70011,Taylor Swift,Love Story,KaraFun
70012,The Cranberries,Zombie,KaraFun
70013,Sister Act,Oh Happy Day,KaraFun
70014,Queen,We Will Rock You,KaraFun
70015,Miley Cyrus,Rockin' Around the Christmas Tree,KaraFun
70016,Michael Bublé,The Christmas Song,KaraFun
70017,Christmas Carol,Deck The Halls (long version),KaraFun
70018,Christmas Carol,Jingle Bells (jazzy version),KaraFun
70019,Christmas Carol,It Came Upon A Midnight Clear,KaraFun
70020,Christmas Carol,Silent Night (Man Voice),KaraFun
70021,Christmas Carol,Twelve Days Of Christmas (alternate version),KaraFun
70022,Christmas Carol,We Three Kings,KaraFun
70023,Etta James,At Last,KaraFun
70024,Extreme,More Than Words,KaraFun
70025,Gloria Gaynor,I Will Survive,KaraFun
70026,Grégoire,Toi + moi,KaraFun
70027,Hugues Aufray,Santiano (version 2010),KaraFun
70028,Boyce Avenue,Rolling In The Deep,KaraFun
70029,Carrie Underwood,How Great Thou Art,KaraFun
70030,Christina Aguilera,Have Yourself a Merry Little Christmas,KaraFun
70031,Christmas Carol,Hark! The Herald Angels Sing (slow version),KaraFun
70032,Christmas Carol,The Holly and the Ivy,KaraFun
70033,Dean Martin & Martina McBride,"Baby, It's Cold Outside",KaraFun
70034,Edith Piaf,"Non, je ne regrette rien",KaraFun
70035,Faith Hill (The Grinch),Where Are You Christmas,KaraFun
70036,Georges Brassens,Les copains d'abord,KaraFun
70037,Glee,Last Christmas,KaraFun
70038,,Over the Rainbow _ What a Wonderful World,KaraFun
70039,Jazz Standards,Have Yourself a Merry Little Christmas,KaraFun
70040,Joe Dassin,Les Champs-Élysées,KaraFun
70041,José Feliciano,Feliz Navidad,KaraFun
70042,Nat King Cole,The Christmas Song (Merry Christmas to You),KaraFun
70043,Sister Act,I Will Follow Him (Chariot),KaraFun
70044,The Andrews Sisters,Boogie Woogie Bugle Boy,KaraFun
70045,The Pointer Sisters,I'm So Excited (Long version),KaraFun
70046,Wham!,Last Christmas,KaraFun
70047,Traditional,When the Saints Go Marching in (Big Band Version),KaraFun
70048,The Commitments,Mustang Sally,KaraFun
70049,Stevie Wonder,"Signed, Sealed, Delivered I'm Yours",KaraFun
70050,Taylor Swift,Mean,KaraFun
70051,Bette Midler,Cool Yule,KaraFun
70052,Bill Withers,Ain't No Sunshine,KaraFun
70053,Christina Aguilera (Burlesque),Something's Gotta Hold On Me,KaraFun
70054,Christmas Carol,Away in a Manger,KaraFun
70055,Christmas Carol,Deck the Halls,KaraFun
70056,Christmas Carol,"God Rest Ye Merry, Gentlemen",KaraFun
70057,Christmas Carol,Jingle Bells (slow version),KaraFun
70058,Andy Williams,It's the Most Wonderful Time of the Year,KaraFun
70059,Brenda Lee,Rockin' Around the Christmas Tree,KaraFun
70060,Christmas Carol,O Little Town of Bethlehem,KaraFun
70061,Christmas Carol,O Come All Ye Faithful,KaraFun
70062,Christmas Carol,Joy to the World,KaraFun
70063,Chubby Checker,Let's Twist Again,KaraFun
70064,Christmas Carol,The First Noel,KaraFun
70065,Christmas Carol,Silent Night (Woman Voice),KaraFun
70066,Christmas Carol,Twelve Days Of Christmas,KaraFun
70067,Christmas Carol,We Three Kings (alternate version),KaraFun
70068,Elvis Presley,Blue Suede Shoes,KaraFun
70069,Indochine,J'ai demandé à la lune,KaraFun
70070,Jennifer Lopez,Papi,KaraFun
70071,Joan Jett,I Love Rock 'N Roll,KaraFun
70072,Lynyrd Skynyrd,Sweet Home Alabama,KaraFun
70073,Christmas Carol,What Child Is This,KaraFun
70074,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,KaraFun
70075,Kylie Minogue,Santa Baby,KaraFun
70076,Lady Gaga,Poker Face,KaraFun
70077,Leona Lewis,Homeless,KaraFun
70078,Maroon 5,She Will Be Loved,KaraFun
70079,Eva Cassidy,People Get Ready,KaraFun
70080,Glee,Valerie,KaraFun
70081,Marilyn Monroe,Diamonds Are a Girl's Best Friend,KaraFun
70082,Mariah Carey,Santa Claus Is Comin' to Town,KaraFun
70083,Michael Bublé,White Christmas,KaraFun
70084,The Bodyguard (Whitney Houston),I Will Always Love You,KaraFun
70085,Queen,Bohemian Rhapsody,KaraFun
70086,Stevie Wonder,Superstition,KaraFun
70087,The Wizard of Oz (Judy Garland),Somewhere Over the Rainbow,KaraFun
70088,Glee,O Holy Night,KaraFun
70089,Kelly Clarkson,My Grown Up Christmas List,KaraFun
70090,Lisa Lois,Hallelujah (acoustic),KaraFun
70091,Michael Bublé,I'll Be Home for Christmas,KaraFun
70092,Michael Jackson,Heal the World,KaraFun
70093,Sister Act,Ain't No Mountain High Enough,KaraFun
70094,Sister Act,Joyful Joyful,KaraFun
70095,Taylor Swift,Santa Baby,KaraFun
70096,Michael Bublé & Nelly Furtado,"Quando, Quando, Quando",KaraFun
70097,Bing Crosby,Santa Claus Is Coming To Town,KaraFun
70098,Aerosmith,I Don't Want to Miss a Thing,KaraFun
70099,Adele,Rolling in the Deep,KaraFun
70100,The Ronettes,Frosty The Snowman,KaraFun
70101,Michael Bublé,Winter Wonderland,KaraFun
70102,Michael Bublé,It's Beginning to Look a Lot Like Christmas,KaraFun
70103,Christmas Carol,"God Rest Ye Merry, Gentlemen (slow version)",KaraFun
70104,Children's Chorus,Jingle Bells,KaraFun
70105,Taylor Swift,Last Christmas,KaraFun
70106,Michael Bublé,Grown-Up Christmas List,KaraFun
70107,Jazzy Christmas,Frosty the Snowman,KaraFun
70108,Aretha Franklin,(You Make Me Feel Like) A Natural Woman,KaraFun
70109,Live at Largo) - Adele,Rolling In The Deep (Acoustic,KaraFun
70110,Alicia Keys,Fallin',KaraFun
70111,Annie (musical),Tomorrow,KaraFun
70112,Christmas Carol,Once in Royal David's City,KaraFun
70113,Queen,Crazy Little Thing Called Love,KaraFun
70114,Michael Bublé,I'll Be Home For Christmas (2011),KaraFun
70115,Michael Bublé,Silent Night,KaraFun
70116,Michael Bublé,White Christmas (with Shania Twain),KaraFun
70117,Rufus Wainwright (Shrek  film),Hallelujah,KaraFun
70118,Tony Bennett & Lady Gaga,The Lady Is a Tramp,KaraFun
70119,Chris Brown,This Christmas,KaraFun
70120,Christmas Carol,Nosotros Los Tres Reyes,KaraFun
70121,Glee,Somebody To Love,KaraFun
70122,Josh Groban,Petit Papa Noël,KaraFun
70123,Slade,Karaoke So Here It Is Merry Christmas,KaraFun
70124,Cascada,Last Christmas,KaraFun
70125,Donny Hathaway,This Christmas,KaraFun
70126,Liza Minnelli,"Theme From New York, New York",KaraFun
70127,The Police,Every Breath You Take,KaraFun
70128,Traditional,All Hail The Power Of Jesus' Name,KaraFun
70129,Adele,Hiding My Heart,KaraFun
70130,Bill Withers,Lean on Me,KaraFun
70131,Chicago (film),All That Jazz,KaraFun
70132,Glee,Don't Rain On My Parade,KaraFun
70133,Perry Como & The Fontane Sisters,Karaoke It's Beginning To Look A Lot Like Christmas,KaraFun
70134,Michael Bublé,Have Yourself a Merry Little Christmas,KaraFun
70135,Michael Bublé feat. The Puppini Sisters,Jingle Bells,KaraFun
70136,Michael Bublé,Santa Baby,KaraFun
70137,Michael Bublé,Santa Claus Is Coming To Town,KaraFun
70138,Mika,Elle me dit,KaraFun
70139,Kate Voegele,Hallelujah,KaraFun
70140,Donna Summer,Hot Stuff,KaraFun
70141,Michael Bublé feat. The Puppini Sisters,Frosty The Snowman,KaraFun
70142,Michael Bublé in duet with Thalía,Mis Deseos + Feliz Navidad,KaraFun
70143,Sarah Brightman,Pie Jesu,KaraFun
70144,The Drifters,White Christmas,KaraFun
70145,Christina Aguilera,This Christmas,KaraFun
70146,Dean Martin,It's Beginning to Look a Lot Like Christmas,KaraFun
70147,Fame (1980 film) (Irene Cara),Out Here On My Own,KaraFun
70148,The Jackson 5,I Want You Back,KaraFun
70149,Alvin and the Chipmunks,The Chipmunk Song (Christmas Don't Be Late),KaraFun
70150,Beyoncé,At Last,KaraFun
70151,Children's Chorus,We Wish You a Merry Christmas,KaraFun
70152,Frank Sinatra,Jingle Bells,KaraFun
70153,James Taylor,You've Got a Friend,KaraFun
70154,1940s Standards,Let It Snow! Let It Snow! Let It Snow!,KaraFun
70155,1950s Standards,It's Beginning to Look a Lot Like Christmas,KaraFun
70156,Ashley Tisdale,Last Christmas,KaraFun
70157,Céline Dion,Ave Maria,KaraFun
70158,Elvis Presley,It's Now or Never,KaraFun
70159,Luther Vandross,Have Yourself a Merry Little Christmas,KaraFun
70160,Whitney Houston,Greatest Love of All,KaraFun
70161,Josh Groban (Franz Schubert),Ave Maria,KaraFun
70162,Anastasia (1997 film) (Liz Callaway),Once Upon a December,KaraFun
70163,Glee,Baby It's Cold Outside,KaraFun
70164,Beyoncé,I Was Here,KaraFun
70165,Céline Dion & Andrea Bocelli,The Prayer (duet),KaraFun
70166,Christmas Carol,We Wish You a Merry Christmas (Alternate Version),KaraFun
70167,Dany Brillant,Histoire d'un amour,KaraFun
70168,Luz Casal,Historia De Un Amor,KaraFun
70169,Diana Krall,Bésame mucho,KaraFun
70170,Glee,Poker Face,KaraFun
70171,Justin Bieber,Santa Claus Is Coming To Town,KaraFun
70172,Tino Rossi,Noël blanc,KaraFun
70173,The Jackson 5,Give Love On Christmas Day,KaraFun
70174,Téléphone,Cendrillon,KaraFun
70175,Sugarland,Nuttin' For Christmas,KaraFun
70176,Christina Aguilera,The Christmas Song,KaraFun
70177,Ella Fitzgerald,Blue Moon,KaraFun
70178,Ella Fitzgerald,Cry Me a River (Orchestral Version),KaraFun
70179,Children's Chorus,Joy To The World,KaraFun
70180,Joe Cocker,Unchain My Heart,KaraFun
70181,Maroon 5,This Love,KaraFun
70182,Ella Fitzgerald,The Lady Is a Tramp,KaraFun
70183,Christina Aguilera,The Christmas Song (Holiday Remix),KaraFun
70184,Guillaume Grand,Toi et moi,KaraFun
70185,Rent (musical),Seasons Of Love,KaraFun
70186,Stevie Wonder,Someday at Christmas,KaraFun
70187,The Band Perry,All Your Life,KaraFun
70188,Aretha Franklin,Think,KaraFun
70189,LeAnn Rimes,Amazing Grace,KaraFun
70190,Stevie Wonder,I Just Called to Say I Love You,KaraFun
70191,Live) - Lady Gaga,Bad Romance (Acoustic,KaraFun
70192,Natalie Imbruglia,Torn,KaraFun
70193,Seal,It's a Man's Man's Man's World,KaraFun
70194,The Calling,Wherever You Will Go,KaraFun
70195,Fairground Attraction,Perfect,KaraFun
70196,Michael Bublé,All of Me (2009),KaraFun
70197,Josh Groban & Charlotte Church,The Prayer,KaraFun
70198,Stevie Wonder,I Wish,KaraFun
70199,Michael Bublé,For Once In My Life,KaraFun
70200,The Doobie Brothers,Long Train Runnin',KaraFun
70201,The Carpenters,Top of the World,KaraFun
70202,Glee,Songbird,KaraFun
70203,Luther Vandross,Dance With My Father,KaraFun
70204,The Platters,Only You (And You Alone),KaraFun
70205,The Puppini Sisters,Mr. Sandman,KaraFun
70206,Whitney Houston,Joy To The World,KaraFun
70207,Bruno Pelletier,"Minuit, chrétiens",KaraFun
70208,Enya,Silent Night,KaraFun
70209,Eva Cassidy,Ain't No Sunshine,KaraFun
70210,Glee,Lean on Me,KaraFun
70211,Grégoire,Soleil,KaraFun
