code,name,Artista,Musica,Letra
01034,01034.mp4,Infantil,Adoletá,Ado-le-ta lê peti lê tomá
01035,01035.mp4,Xuxa,Arco-Íris,Vou pintar um arco-íris de
01036,01036.mp4,Infantil,Atirei O Pau No Gato,Atirei o pau no gato to
01037,01037.mp4,Balão Mágico (A turma do),Baile Dos Passarinhos,Passarinho quer dançar o rabicho
01038,01038.mp4,Os Saltimbancos,Bicharia,Au au au ió i-ó miau miau miau
01039,01039.mp4,14 Bis,Bola De Meia Bola De Gude,Há um menino há um moleque
01040,01040.mp4,Infantil,Cai Cai Balão,Cai cai balão cai cai balão
01041,01041.mp4,Raul Seixas,O Carimbador Maluco,"""Cinco quatro três dois pare"
01042,01042.mp4,Infantil,Coelhinho De Olhos Vermelhos,De olhos vermelhos de pêlo
01043,01043.mp4,Chiquititas,Coração Com Buraquinhos,Sabe o coração às vezes chora
